timestamp_epoch	surf_min	surf_max	surf_humanRelation	swell_0_height	swell_0_period	swell_0_impact	swell_0_direction	swell_0_directionMin	swell_0_optimalScore	swell_1_height	swell_1_period	swell_1_impact	swell_1_direction	swell_1_directionMin	swell_1_optimalScore	swell_2_height	swell_2_period	swell_2_impact	swell_2_direction	swell_2_directionMin	swell_2_optimalScore	swell_3_height	swell_3_period	swell_3_impact	swell_3_direction	swell_3_directionMin	swell_3_optimalScore	swell_4_height	swell_4_period	swell_4_impact	swell_4_direction	swell_4_directionMin	swell_4_optimalScore	swell_5_height	swell_5_period	swell_5_impact	swell_5_direction	swell_5_directionMin	swell_5_optimalScore	timestamp_utc	rating
1680148800	0.0	0.6920383333333333	Shin to knee	3.21	7	0.0	64.18	53.48	0	0.58	13	0.13	79.99	74.66	0	0.33	5	0.23	212.31	206.37	0	0.29	6	0.25	158.73	154.76	0	0.26	7	0.21	131.16	126.98	0	0.0	0	0.0	0.0	0.0	0	2023-03-30 04:00:00	Y
1680152400	0.0	0.747375	Shin to knee	3.08	7	0.0	65.32	54.93	0	0.57	13	0.14	80.19	74.94	0	0.32	5	0.22	213.08	206.94	0	0.29	6	0.25	158.53	154.62	0	0.24	7	0.2	131.78	127.28	0	0.0	0	0.0	0.0	0.0	0	2023-03-30 05:00:00	Y
1680156000	0.0	0.7979	Shin to knee	2.98	7	0.0	66.26	56.23	0	0.55	13	0.13	78.92	73.79	0	0.29	5	0.2	214.15	208.13	0	0.33	6	0.27	154.66	149.36	0	0.23	7	0.2	129.57	125.22	0	0.0	0	0.0	0.0	0.0	0	2023-03-30 06:00:00	Y
1680159600	0.0	0.848425	Shin to knee	2.88	7	0.0	66.95	57.23	0	0.57	13	0.13	80.29	75.0	0	0.28	5	0.18	214.51	208.3	0	0.41	7	0.29	145.29	137.1	0	0.0	0	0.0	0.0	0.0	0	0.23	13	0.23	121.59	118.02	0	2023-03-30 07:00:00	Y
1680163200	0.0	0.8989500000000001	Shin to knee	2.8	7	0.06	67.69	58.17	0	0.58	13	0.12	79.76	74.31	0	0.26	5	0.16	213.72	206.85	0	0.4	7	0.27	145.54	137.57	0	0.0	0	0.0	0.0	0.0	0	0.24	13	0.22	121.72	118.22	0	2023-03-30 08:00:00	Y
1680166800	0.0	0.9494750000000001	Shin to knee	2.73	7	0.06	68.2	58.93	0	0.58	13	0.12	80.6	75.14	0	0.24	5	0.15	214.13	207.22	0	0.41	7	0.27	145.81	137.85	0	0.0	0	0.0	0.0	0.0	0	0.26	13	0.24	123.16	119.7	0	2023-03-30 09:00:00	Y
1680170400	0.0	1.0	Shin to knee	2.65	7	0.06	68.69	59.57	0	0.58	13	0.12	80.33	74.79	0	0.23	5	0.14	214.16	205.91	0	0.42	6	0.27	143.99	135.45	0	0.0	0	0.0	0.0	0.0	0	0.27	13	0.25	122.81	119.58	0	2023-03-30 10:00:00	Y
1680174000	0.0	1.0	Shin to knee	2.59	7	0.06	69.12	60.14	0	0.58	13	0.12	80.35	75.02	0	0.21	5	0.13	212.94	204.96	0	0.43	6	0.27	143.77	135.24	0	0.0	0	0.0	0.0	0.0	0	0.32	13	0.27	122.64	119.42	0	2023-03-30 11:00:00	Y
1680177600	0.0	0.8934380000000001	Shin to knee	2.52	7	0.05	69.37	60.51	0	0.58	13	0.12	80.84	75.29	0	0.2	5	0.13	212.66	203.52	0	0.44	6	0.27	143.24	134.87	0	0.0	0	0.0	0.0	0.0	0	0.34	13	0.28	122.73	119.55	0	2023-03-30 12:00:00	Y
1680181200	0.0	0.7868760000000001	Shin to knee	2.47	7	0.05	69.51	60.33	0	0.58	13	0.12	81.21	75.69	0	0.0	0	0.0	0.0	0.0	0	0.37	6	0.24	151.77	146.09	0	0.23	7	0.14	122.32	118.59	0	0.36	13	0.29	122.98	119.74	0	2023-03-30 13:00:00	Y
